x,y,AngX,AngKu,mvs,rms,tsoil
-107.87529588469,39.0467581766722,54.4062440832732,54.4667904920606,0.0107901681662852,0.0116407590370765,0
-107.874193687258,39.0397822863992,41.1422471028977,41.1875160059955,0.0426386264469131,0.00512639784871383,0
-107.875582269649,39.0464482232571,54.0336233465789,54.0944737088189,0.014508138199486,0.0117328929240369,0
-107.874591127981,39.0400056121016,41.8808279020077,41.9214229081586,0.0614995732453056,0.00201776282438892,0
-107.875813102348,39.0458716325333,53.2281887468252,53.2889607261426,0.0220176137312699,0.011551203151023,0
-107.875868652142,39.0461382692175,53.6495332150909,53.7114351408539,0.0151435197472013,0.0116587794496543,0
-107.874988571169,39.040228936346,42.658691861187,42.6914929164113,8.67010292836017e-06,0.0555908005521186,0
-107.876266134701,39.0463615874519,54.0775700373391,54.1437803409705,0.0209034206701155,0.0110499410205973,0
-107.876321686685,39.0466282238218,54.4693012797271,54.5377401302573,0.0246164955591493,0.0103353230929695,0
-107.875330474615,39.0401856217546,42.7791037386064,42.8040665415182,8.91541374104722e-06,0.0533575077797045,0
-107.877069710738,39.0451650828233,52.5710008955589,52.6900722244051,0.021841358255834,0.0105708561989929,0
-107.879360608998,39.0426854068021,49.4352204480053,49.5010377483278,0.0464658356564126,0.00223055897371968,0
-107.880497470277,39.0430886886874,50.3966060374448,50.4512912920894,0.0188809383356449,0.0108493204745061,0
-107.880553034739,39.0433553226673,50.9312115536377,50.9884398757589,0.0146201567672075,0.0110226740090421,0
-107.88083938305,39.0430453575491,50.404239993674,50.9748626682864,0.0269502324819328,0.00757164538960216,0
-107.880894948744,39.0433119913205,50.9221294216373,50.9748626682864,0.0220400878347577,0.0116774602239311,0
-107.881181295344,39.0430020254225,50.4392390593843,50.9819990778988,0.0446217593367459,0.00469656637346432,0
-107.881236862271,39.0432686589853,50.9376090017977,50.9819990778988,0.0133293703077074,0.0118072288151058,0
-107.881292429678,39.0435352924951,51.4427350201216,51.4899746787146,0.0239667121582668,0.0107554897510043,0
-107.881347997562,39.043801925952,51.9563151036036,52.0254222381179,0.0314123061985207,0.00803859323354461,0
-107.88157877532,39.0432253256618,50.9835560990413,51.0190508784675,0.0168104876960131,0.011952908358993,0
-107.881634343959,39.043491958963,51.4798842894529,51.5166253610848,0.015427431748873,0.0114352616995014,0
-107.881689913077,39.0437585922113,51.9874632942768,52.0254222381179,0.0155731996562587,0.0115616087966025,0
-107.882604511591,39.0430953197612,51.2694988713386,51.2857300174296,0.0495602710898883,0.00235915047084706,0
-107.882715656746,39.0436285850591,52.1726040206316,52.2781841330603,0.0459757836831096,0.00264743613337278,0
-107.883108411497,39.0337264452489,28.6561056458014,28.6892393519688,0.0108853736782227,0.0102206583359216,0
-107.883339146966,39.0331498423746,26.7115477488816,26.7336002293722,0.0805417158226762,0.0106461985302372,0
-107.883450277366,39.0336831081472,28.6984522873378,28.7100425771204,0.0597218313788497,0.0118275308503418,0
-107.883847709906,39.0339064026559,29.7458950850843,29.7463714389326,0.106575633160263,0.00911977389430703,0
-107.883903277535,39.0341730352012,30.6449464764429,30.6580951459867,0.0458175636807209,0.0118984815983989,0
-107.88689093902,39.040088837779,47.3100985155775,47.3490251750988,0.0524872081367588,0.00165485323457395,0
-107.886946524307,39.0403554680098,47.9301819213402,47.9756609046119,0.0531792793331316,0.0017053473209716,0
-107.88723283235,39.0400454885445,47.3367357590877,47.3726024544001,0.0546725208432551,0.00188065285967566,0
-107.88734400587,39.0405787485358,48.5241892998988,48.5756658379489,0.0540686108123111,0.00168813990496351,0
-107.887519137928,39.0397355084555,46.8127650920523,46.8390882640988,0.0531618932485274,0.00184221960179335,0
-107.887574725202,39.0400021383219,47.3723924680621,47.4068106862641,0.0519395383884034,0.00166124101910514,0
-107.888536465349,39.0412485813619,50.1470186028949,50.2098076832919,0.055160934394471,0.00173830336259607,0
-107.888878362926,39.041205227131,50.1286254167964,50.2098076832919,0.0515239232875146,0.00211111204909311,0
-107.892171830849,39.0317561142743,26.0437086629092,25.9982827733166,0.180597607691592,0.00665416276513351,0
-107.89222742737,39.0320227418141,27.0832685644774,27.1112641499861,0.109102475524367,0.0088951512287887,0
-107.89228302437,39.0322893693008,28.1083926619636,28.1352414450279,0.119167412657176,0.00856841653776619,0
-107.892402486021,39.0311794963041,23.8829176458692,23.854139995561,0.100856780584708,0.00953555050481487,0
-107.892744332317,39.0311361325847,23.8496997440593,23.854139995561,0.103186685375876,0.00935777640555121,0
-107.898714384788,39.0328417917999,32.0516208275407,32.070832893004,0.0526888072659825,0.00121627724576586,0
-107.901624114101,39.0316514498105,28.7374080642841,28.7305247956727,0.00817816636479702,0.0135280892514372,0
-107.901679745805,39.0319180714968,29.6583272351279,29.632724408631,0.0487246519753411,0.011904768254053,0
-107.901957911518,39.0332511791319,34.4131141288979,34.4110591321199,0.0506848501502398,0.00109973978806375,0
-107.909685397825,39.0366490218396,44.7979229792891,44.8517107771309,0.0423937640418674,0.00269863614664142,0
-107.909741064727,39.036915638173,45.4704936802548,45.5243901427702,0.0442413952868282,0.00165315858167827,0
-107.909796732109,39.0371822544534,46.1521804658746,46.207001571495,0.0483708542743349,0.00166642097445749,0
-107.909860255036,39.0358057581353,42.7836849589489,42.8251865984038,0.0518868852049201,0.00175088881353341,0
-107.90991592173,39.036072374419,43.4254136955931,43.4562661894801,0.0553941647670732,0.00227090042901818,0
-107.910082924691,39.0368722229511,45.3811527606008,45.4248695646887,0.0497513003425923,0.00146143308142589,0
-107.910194262399,39.0374054550399,46.7273539274067,46.7800541513992,0.0470674243400234,0.00198098172756861,0
-107.910249931973,39.0376720710045,47.4130897513636,47.463455291012,0.0937931981294525,0.0101895487899335,0
-107.910146442146,39.0354957266352,42.1117766048315,42.1539487920567,0.0411676261972632,0.00686793917739255,0
-107.910202109592,39.0357623427628,42.7462878326074,42.7744740627665,0.0566833977714286,0.00159203418982767,0
-107.910369114809,39.0365621908265,44.7135924162041,44.73770785987,0.0560733099694362,0.00170520817878549,0
-107.910424784175,39.0368288067414,45.3286736730616,45.3625880292781,0.0522336564190201,0.00141102920905048,0
-107.910480454021,39.0370954226031,45.9623364107118,46.0028282249456,0.0529830766279428,0.00147658569149306,0
-107.910536124347,39.0373620384115,46.6363499320232,46.6794588414582,0.0554682669315487,0.00283239562490476,0
-107.91048829499,39.0354523104842,42.06926065411,42.1010089969658,0.0516331369519429,0.00174642466406686,0
-107.910543963667,39.0357189264025,42.7274119839768,42.7493923740631,0.0532196823460127,0.00211984244271098,0
-107.910933657854,39.0375852363413,47.2528993739003,47.2926550723826,0.0436941339436441,0.00217482559755145,0
-107.911546081973,39.0405180038355,52.7734274032279,52.7809129987701,0.0147964218614039,0.0109943748847242,0
-107.910830147353,39.0354088933455,42.0532782608597,42.0761530281213,0.050828616467543,0.00170943442083012,0
-107.911331193825,39.0378084328112,47.808491366814,47.8619796474886,0.0449206854768877,0.00222018025571307,0
-107.911386868056,39.0380750480414,48.383339257124,48.447473154156,0.100530542097706,0.0098686541210208,0
-107.911665246415,39.0394081233944,50.8512845806849,50.8747803285813,0.0453935747625519,0.0025782512637657,0
-107.911720923528,39.0396747383054,51.3189657173947,51.3578938594882,0.0166492517557322,0.0110270706502509,0
-107.911776601121,39.0399413531632,51.7945296347429,51.8411663389932,0.00947748667305961,0.0124691660074038,0
-107.911832279194,39.0402079679677,52.2741012671425,52.3190956264096,0.00967384839206137,0.0115201381395122,0
-107.911887957748,39.0404745827191,52.7492122041897,52.7809129987701,0.013793715935629,0.0112825960476255,0
-107.911999316295,39.0410078120622,53.6583829113892,53.659237241222,0.0212908327613027,0.0105376465574074,0
-107.911171999236,39.0353654752189,42.0485555889497,42.0699235559864,0.0166136519000968,0.0127249014277521,0
-107.911227670377,39.0356320907186,42.712275422984,42.7329023298611,0.0494227374493826,0.00174132004791753,0
-107.911283341999,39.035898706165,43.3812791183622,43.4071984184052,0.0467274258724332,0.00187277901423106,0
-107.911394686683,39.0364319368984,44.6738733015635,44.701051680698,0.054084100940694,0.00166205206941217,0
-107.911450359746,39.0366985521852,45.3026340331268,45.3221868238744,0.0485564740079788,0.00148119272967605,0
-107.911506033288,39.0369651674189,45.9306567902076,45.9456854657511,0.0467513259958883,0.00217375370397875,0
-107.911561707311,39.0372317825993,46.5516110917923,46.572077224224,0.045012042676408,0.00232808066728903,0
-107.911673056797,39.0377650128006,47.7216970292433,47.7729953792272,0.049160335133564,0.0021442819505996,0
-107.91172873226,39.0380316278215,48.271299529959,48.3324046786557,0.0422271828473116,0.00431462447963697,0
-107.912007116781,39.0393647021276,50.8430465311135,50.8747803285813,0.0458706748332735,0.00327876567039266,0
-107.912062795125,39.0396313168292,51.3325281146624,51.3578938594882,0.0176491097635836,0.0113837517254409,0
-107.912118473951,39.0398979314776,51.8186372272154,51.8411663389932,0.0133810108275884,0.0112267489108322,0
-107.912174153256,39.0401645460728,52.2957706872082,52.3190956264096,0.0201924847577341,0.011477506194191,0
-107.912229833042,39.0404311606148,52.7562442258267,52.7829928990101,0.0123961943302482,0.0113036946263617,0
-107.912285513308,39.0406977751035,53.1971692655828,53.2443838281528,0.0151989200723411,0.011070112795296,0
-107.911458178745,39.0350554407611,41.3801561109536,41.4113689661085,0.0463549814110083,0.00119079547754152,0
