"x","y","AngX","AngKu","HHx","HHku","VVx","VVku","Volxh","Volkh","Volxv","Volkv","GXh","GKh",""
-107.87529588469,39.0467581766722,54.4062440832732,54.4667904920606,-7.85887782325323,5.83337349626661,-15.491562324367,-13.8909887893952,0.0432441348420413,0.124727401733297,0.0464105411532577,0.133516736347667,0.120479816589397,3.7064948782565,1
-107.874193687258,39.0397822863992,41.1422471028977,41.1875160059955,-10.4522569151556,-1.48224608011176,-15.2006251874181,-13.2739492436263,0.0662646428803756,0.20194798562936,0.0684185617395375,0.208288769202794,0.0238456307514052,0.508897798387956,2
-107.875582269649,39.0464482232571,54.0336233465789,54.0944737088189,-8.05057571596023,5.06023176688307,-15.3321397828088,-14.1580451715235,0.0439994103073193,0.12708940589407,0.0471409570717644,0.135823685535702,0.112654928679709,3.07935102989818,3
-107.874591127981,39.0400056121016,41.8808279020077,41.9214229081586,-10.3102841200829,-1.10457291904725,-15.6604476328451,-13.9169271458577,0.0649532152339567,0.197604655119392,0.0671703039537266,0.204115455198068,0.0281514811050277,0.577825539539064,4
-107.875813102348,39.0458716325333,53.2281887468252,53.2889607261426,-8.31581028474795,3.96722953504372,-14.9186559601759,-13.9410241755846,0.0454351003566297,0.131664849191505,0.0485110630401996,0.1402442596875,0.101938254997932,2.36133902554757,5
-107.875868652142,39.0461382692175,53.6495332150909,53.7114351408539,-8.13526856840044,4.3678063058185,-14.9529761602372,-13.7312259163649,0.0447683582385876,0.129497705620769,0.0478823371553522,0.138169443543612,0.108860620360267,2.60438973951431,6
-107.874988571169,39.040228936346,42.658691861187,42.6914929164113,-11.6837832265834,-1.68115609981,-18.0952482551048,-15.2531718200037,0.0636982036818013,0.193356756578628,0.0659873643325759,0.2000553038778,0.00416301854857837,0.485666094859391,7
-107.876266134701,39.0463615874519,54.0775700373391,54.1437803409705,-8.3748774251958,4.29103772951327,-15.5729199855413,-13.7016047287357,0.0438980263158238,0.12677925441442,0.0470355231153216,0.135503744434729,0.101484515448151,2.55920692036063,8
-107.876321686685,39.0466282238218,54.4693012797271,54.5377401302573,-8.49116009677985,4.55654637528632,-15.8070712501381,-13.8359516251451,0.0431046491050242,0.124296280074345,0.0462657137889825,0.133072803701589,0.0984369149528011,2.73102273494596,9
-107.875330474615,39.0401856217546,42.7791037386064,42.8040665415182,-11.604895585396,-1.47048216566692,-18.1281382654277,-16.2275439119016,0.0634747221839422,0.192668974996817,0.0657724382349914,0.199388854125334,0.00563043218696102,0.52010491662076,10
-107.877069710738,39.0451650828233,52.5710008955589,52.6900722244051,-7.12140380092429,2.37085374994786,-11.2014427979684,-12.746788153527,0.0465077604279754,0.13497161280575,0.0495112542481944,0.14338926557101,0.147518100835776,1.59120558325286,11
-107.879360608998,39.0426854068021,49.4352204480053,49.5010377483278,-9.64987434014116,-0.382787642484874,-13.7806563385784,-13.3836297665598,0.054218971477745,0.157800204944504,0.0570493084406309,0.165716784095183,0.0541768562311721,0.757832371737131,12
-107.880497470277,39.0430886886874,50.3966060374448,50.4512912920894,-8.21993361088016,0.264172188550512,-11.7572089999591,-12.4302788435927,0.0522533456805118,0.152263312398429,0.0551619127560574,0.160405023383162,0.0984096640547283,0.910452686604074,13
-107.880553034739,39.0433553226673,50.9312115536377,50.9884398757589,-7.36555252066912,0.260637795963388,-10.8473663719058,-10.6771407245656,0.0511649250163602,0.148809762196448,0.0541148433290094,0.157051897721621,0.132254255148622,0.913041724882451,14
-107.88083938305,39.0430453575491,50.404239993674,50.9748626682864,-8.50789957778388,0.277299997090392,-12.1649253696192,-10.3217787647941,0.0522437288918184,0.148908194579042,0.0551523257289754,0.157145908748082,0.0887533262911066,0.91702503136971,15
-107.880894948744,39.0433119913205,50.9221294216373,50.9748626682864,-8.05508434102893,0.277299997090392,-11.4748786728262,-10.3217787647941,0.0511878329291309,0.148908194579042,0.054137291590182,0.157145908748082,0.105303959855736,0.91702503136971,16
-107.881181295344,39.0430020254225,50.4392390593843,50.9819990778988,-8.58399256523374,0.339102809144128,-11.9036544140819,-11.1604429430378,0.0521725627364417,0.148875795229137,0.0550835214515646,0.15711513339025,0.0863755912031335,0.932334770214401,17
-107.881236862271,39.0432686589853,50.9376090017977,50.9819990778988,-7.78375115571658,0.339102809144128,-11.0118276808773,-11.1604429430378,0.0510826011159928,0.148875795229137,0.0540280748997015,0.15711513339025,0.115498176248403,0.932334770214401,18
-107.881292429678,39.0435352924951,51.4427350201216,51.4899746787146,-8.15762491358038,0.422265264681396,-11.1436841544564,-11.0574044893209,0.0500745341113583,0.145406745896138,0.0530593721889462,0.153724494728709,0.102765634681981,0.956707272529308,19
-107.881347997562,39.043801925952,51.9563151036036,52.0254222381179,-8.32723104514551,0.925374766667816,-11.4840468940091,-11.0261833318355,0.0489764850895855,0.141881049476212,0.0519949595994846,0.150282368735675,0.0980098276656688,1.09559692180355,20
-107.88157877532,39.0432253256618,50.9835560990413,51.0190508784675,-8.22656913035805,0.485338321255559,-11.5236555538763,-10.875639371217,0.0510252163516501,0.147888791263518,0.0539766082176898,0.156092649487797,0.0994077734243166,0.970348142092169,21
-107.881634343959,39.043491958963,51.4798842894529,51.5166253610848,-7.82381444934385,0.381561210480771,-11.3086718632931,-10.9234580106847,0.0500055025949744,0.145253211282123,0.0529933649710686,0.153576511444239,0.11504564756687,0.946579548849882,22
-107.881689913077,39.0437585922113,51.9874632942768,52.0254222381179,-7.89628495864217,0.925374766667816,-11.9392149326998,-11.0261833318355,0.048918079321047,0.141881049476212,0.0519379137518415,0.150282368735675,0.113401722629897,1.09559692180355,23
-107.882604511591,39.0430953197612,51.2694988713386,51.2857300174296,-9.68874355287533,0.386000022878449,-14.8673128742673,-15.1196316044872,0.0504555909924423,0.146811141201201,0.0534239262454848,0.155084409985205,0.0569744260711382,0.946138123641151,24
-107.882715656746,39.0436285850591,52.1726040206316,52.2781841330603,-9.35861455741321,0.892629744452348,-15.0774111043237,-15.0119569372866,0.0485578920824634,0.140358462473681,0.0515876231909588,0.148790187813806,0.0673568155799978,1.0878242340306,25
-107.883108411497,39.0337264452489,28.6561056458014,28.6892393519688,-6.22700283710774,0.156081928836507,-7.6352527519198,-10.0502216918376,0.0859081727423805,0.269848037568297,0.0870149436714385,0.273213189767346,0.152488240107307,0.766744774142524,26
-107.883339146966,39.0331498423746,26.7115477488816,26.7336002293722,-4.24584202267291,0.952963516849811,-4.84245976007154,-7.09455995346943,0.0885670616002819,0.279177986793922,0.0895350485878455,0.282130980572334,0.287630345357525,0.966186140412047,27
-107.883450277366,39.0336831081472,28.6984522873378,28.7100425771204,-5.01306067032525,0.0279406408316598,-6.09254959345864,-8.91231768603529,0.0858648086773913,0.269784652147644,0.0869743752753892,0.273153255152166,0.229413384495569,0.736669658025845,28
-107.883847709906,39.0339064026559,29.7458950850843,29.7463714389326,-3.46708895857945,0.0653948723873543,-4.48837290611944,-8.20447377449915,0.0844628794409725,0.26492990265648,0.0856502749871875,0.268524534989892,0.3656185603806,0.75024176189655,29
-107.883903277535,39.0341730352012,30.6449464764429,30.6580951459867,-5.47530164506578,-0.22532548720334,-6.53811286073718,-8.83954849163655,0.083400435612225,0.260936004806722,0.0846595977801615,0.264740758339071,0.200045239952913,0.688503834822505,30
-107.88689093902,39.040088837779,47.3100985155775,47.3490251750988,-10.4701470508279,-0.972296723215299,-14.5591903617417,-10.9683478122931,0.0577098445850558,0.170746186721126,0.0604595916233283,0.178560623363763,0.0320299962490899,0.628665195713267,31
-107.886946524307,39.0403554680098,47.9301819213402,47.9756609046119,-11.1480486368181,-1.5995112858925,-14.4519350902634,-13.0707615097542,0.0564794028159868,0.166754618825217,0.059281282929404,0.174701371756107,0.0202912327985886,0.525154208615969,32
-107.88723283235,39.0400454885445,47.3367357590877,47.3726024544001,-10.9893208579773,-1.31516228336616,-14.1895966621846,-13.9288525489482,0.0576697609947659,0.170642611429096,0.0604219444788328,0.178462492440688,0.0219586252194692,0.568084046956685,33
-107.88734400587,39.0405787485358,48.5241892998988,48.5756658379489,-10.7190044277526,-1.67876802469957,-13.9669429174657,-13.5344497037591,0.0552463843937403,0.162668760163415,0.0580945317114946,0.170725576284583,0.0294957810015602,0.516727571377833,34
-107.887519137928,39.0397355084555,46.8127650920523,46.8390882640988,-10.2035488661467,-1.16459520182278,-12.7529469285596,-12.3809916488878,0.0586928013604757,0.173926102613331,0.0613969431074824,0.181611201206574,0.0367284512653619,0.590860866939282,35
-107.887574725202,39.0400021383219,47.3723924680621,47.4068106862641,-10.4652414647054,-1.36616943299716,-13.2775195637753,-12.7485671475442,0.0573266999455197,0.170462426823729,0.0600681175206171,0.178289563795451,0.032514564061015,0.559638763844589,36
-107.888536465349,39.0412485813619,50.1470186028949,50.2098076832919,-10.7665523613719,-0.859985402551809,-14.3992134059921,-13.2167328279127,0.0519010907059819,0.15212138047172,0.0548698351617818,0.160497909280979,0.0319183510095607,0.668232921217399,37
-107.888878362926,39.041205227131,50.1286254167964,50.2098076832919,-10.0664315389419,-0.859985402551809,-13.9107287453035,-13.2167328279127,0.0521265534158282,0.15212138047172,0.0551077313879622,0.160497909280979,0.0463554434818673,0.668232921217399,38
-107.892171830849,39.0317561142743,26.0437086629092,25.9982827733166,-1.10225789812011,1.04231172989129,-0.83406423496293,-4.11717382355131,0.08972579765608,0.28336471655572,0.0906438753546265,0.286153581137029,0.686117852788685,0.987885889537549,39
-107.89222742737,39.0320227418141,27.0832685644774,27.1112641499861,-3.28942103802648,0.224761284569498,-3.47642328139498,-6.97574512781155,0.0886521708586985,0.278970327634582,0.0896448036505038,0.281993911432588,0.380223713396315,0.774145472068234,40
-107.89228302437,39.0322893693008,28.1083926619636,28.1352414450279,-3.01678543070269,-0.43546127652278,-2.86462733259571,-7.94431025998184,0.087351963793868,0.274333902774233,0.0884185469655797,0.277574957768959,0.411901925646605,0.630260450321895,41
-107.892402486021,39.0311794963041,23.8829176458692,23.854139995561,-3.50301764929587,0.619438755623513,-4.20912069588435,-9.39595864817667,0.0924812947352134,0.293135024805654,0.0932817121524088,0.295576917435096,0.353892031848737,0.860169180390297,42
-107.892744332317,39.0311361325847,23.8496997440593,23.854139995561,-3.41186925351422,0.619438755623513,-4.35068089488553,-9.39595864817667,0.0925366557299432,0.293135024805654,0.0933346382282516,0.295576917435096,0.363304018910967,0.860169180390297,43
-107.898714384788,39.0328417917999,32.0516208275407,32.070832893004,-9.59548404928041,-2.67627753648139,-10.8512666977571,-12.7200068815233,0.0825796165723753,0.256937369834239,0.0839531786527597,0.261063006966845,0.0271822781003571,0.283035881065447,44
-107.901624114101,39.0316514498105,28.7374080642841,28.7305247956727,-7.05610738668933,-1.73315370431015,-8.75330441675968,-11.0474494577237,0.0874655307658921,0.27432010208138,0.0886125868864244,0.277788506365693,0.109499560367364,0.396621358184418,45
-107.901679745805,39.0319180714968,29.6583272351279,29.632724408631,-5.35911047027212,-1.76016618396169,-6.40026092336463,-10.0543790636926,0.0861478572551671,0.269654589574716,0.0873304395202915,0.273208015185465,0.2049834784862,0.397126664585158,46
-107.901957911518,39.0332511791319,34.4131141288979,34.4110591321199,-10.1647611888107,-4.39375704115541,-12.2667967909993,-12.8504088087027,0.0799676430526063,0.246571271397957,0.0815559079895556,0.251274937862375,0.0163096522247805,0.117029081351883,47
-107.909685397825,39.0366490218396,44.7979229792891,44.8517107771309,-8.22121680512413,0.591322737865287,-10.9445813840685,-10.719077855546,0.0650181683395237,0.191773038977923,0.0676292311646652,0.199177381851512,0.0856003321153795,0.954088846369715,48
-107.909741064727,39.036915638173,45.4704936802548,45.5243901427702,-10.1273325710127,0.59354429623903,-14.0338918959341,-14.4781292803168,0.0636860837534543,0.187435855986956,0.0663622853882346,0.195007195542716,0.0334245398302351,0.959012325148974,49
-107.909796732109,39.0371822544534,46.1521804658746,46.207001571495,-10.3038017189687,0.752186154330155,-14.5505798418119,-15.1935251962305,0.0623267597998073,0.183030400559489,0.0650674994596427,0.190765653761806,0.0309170109848555,1.00607024648983,50
-107.909860255036,39.0358057581353,42.7836849589489,42.8251865984038,-9.68611963168809,-0.292118161297826,-13.4102691696606,-15.0747429163776,0.0687713511795556,0.204214240060037,0.0712835794866474,0.211389517117482,0.0387235925829266,0.730735324907312,51
-107.90991592173,39.036072374419,43.4254136955931,43.4562661894801,-8.38676904740577,-0.276092852545597,-10.7192692657323,-12.0155211812018,0.0677565372900936,0.201004807860465,0.0702627002547159,0.208144248044321,0.0772284701758405,0.737401059961353,52
-107.910082924691,39.0368722229511,45.3811527606008,45.4248695646887,-10.4582576642576,0.394776252941531,-14.4854335301603,-14.4305857125434,0.063884103100034,0.188132975416604,0.0665519338892433,0.195679596150936,0.0261017490230728,0.907027156214514,53
-107.910194262399,39.0374054550399,46.7273539274067,46.7800541513992,-9.69336660633801,1.13168798781849,-13.8806304998968,-13.6132569514404,0.0611982783036683,0.17949819748788,0.0639904763314424,0.187375855272722,0.0461174406320256,1.11818535077301,54
